ID;Status;Type;Lenght;Managed by;Municipality;Google Maps;Geographical coordinates;Geo Shape
267;active;Trottoir;1.8;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.88634991345232%2C4.342009633752131;50.88634991345232, 4.342009633752131;"{""coordinates"": [4.342009633752131, 50.88634991345232], ""type"": ""Point""}"
269;active;Voirie;1.8;Régional;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84976025355648%2C4.377800669042783;50.84976025355648, 4.377800669042783;"{""coordinates"": [4.377800669042783, 50.84976025355648], ""type"": ""Point""}"
276;active;Voirie;2.0;Régional;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84977983087343%2C4.370435066482535;50.84977983087343, 4.370435066482535;"{""coordinates"": [4.370435066482535, 50.84977983087343], ""type"": ""Point""}"
282;active;Voirie;1.8;Régional;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.8373757038831%2C4.313267973903309;50.8373757038831, 4.313267973903309;"{""coordinates"": [4.313267973903309, 50.8373757038831], ""type"": ""Point""}"
283;active;Voirie;2.0;Régional;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.835765335361806%2C4.313948540387698;50.835765335361806, 4.313948540387698;"{""coordinates"": [4.313948540387698, 50.835765335361806], ""type"": ""Point""}"
287;active;Voirie;2.0;Régional;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.838688840341895%2C4.410985725340401;50.838688840341895, 4.410985725340401;"{""coordinates"": [4.410985725340401, 50.838688840341895], ""type"": ""Point""}"
291;active;Voirie;2.0;Régional;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.857352994743955%2C4.359113215661613;50.857352994743955, 4.359113215661613;"{""coordinates"": [4.359113215661613, 50.857352994743955], ""type"": ""Point""}"
305;active;Voirie;1.8;Régional;Uccle Ukkel;https://www.google.com/maps/search/?api=1&query=50.82920360942821%2C4.329783085416663;50.82920360942821, 4.329783085416663;"{""coordinates"": [4.329783085416663, 50.82920360942821], ""type"": ""Point""}"
310;active;Voirie;2.0;Régional;Uccle Ukkel;https://www.google.com/maps/search/?api=1&query=50.81268037133505%2C4.316536237211472;50.81268037133505, 4.316536237211472;"{""coordinates"": [4.316536237211472, 50.81268037133505], ""type"": ""Point""}"
311;active;Voirie;1.8;Régional;Uccle Ukkel;https://www.google.com/maps/search/?api=1&query=50.81707356037006%2C4.31961698849746;50.81707356037006, 4.31961698849746;"{""coordinates"": [4.31961698849746, 50.81707356037006], ""type"": ""Point""}"
